ID,Height(in),Weight(kg)
1,67.0,95.0
2,72.0,70.0
3,65.0,70.0
4,60.0,45.0
5,64.9,51.0
6,69.29,58.0
7,71.26,65.0
8,65.0,85.0
9,66.0,50.0
10,67.0,60.0
11,68.0,58.0
12,68.0,70.0
13,64.0,55.0
14,71.0,63.0
15,69.9,62.0
16,69.09,67.0
17,62.0,45.0
18,60.0,48.0
19,59.0,53.0
20,65.0,52.0
21,69.0,57.0
22,67.0,72.0
23,63.0,50.0
24,62.0,42.0
25,70.8,82.0
26,70.8,83.0
27,70.8,55.0
28,70.9,60.0
29,63.0,40.0
30,63.0,52.0
31,70.5,60.1
32,70.0,68.0
33,69.6,76.7
34,70.0,48.0
35,69.0,55.0
36,67.0,53.0
37,69.0,71.0
38,65.0,62.0
